position,artist,title,streams,peak,days,total_streams,rank_date
1,Taylor Swift,The Fate of Ophelia,7.317.346,1,41,436980463,2025-11-13
2,HUNTR/X,"Golden(w/Ejae,AUDREY NUNA,REI AMI,KPop Demon Hunters Cast)",5.730.900,1,144,972970688,2025-11-13
3,sombr,back to friends,4.654.726,1,240,1065096546,2025-11-13
4,Olivia Dean,Man I Need,4.517.422,3,85,321147901,2025-11-13
5,Alex Warren,Ordinary,3.758.755,1,279,1256531218,2025-11-13
6,Taylor Swift,Opalite,3.701.975,2,41,283894717,2025-11-13
7,Olivia Dean,So Easy (To Fall In Love),3.506.938,7,47,119110428,2025-11-13
8,ROSALÃA,La Perla(w/Yahritza Y Su Esencia),3.491.334,5,6,20459611,2025-11-13
9,RAYE,WHERE IS MY HUSBAND!,3.274.706,8,55,152208218,2025-11-13
10,Lady Gaga,Die With A Smile(w/Bruno Mars),3.172.106,1,454,3096118697,2025-11-13
11,Billie Eilish,BIRDS OF A FEATHER,3.049.907,1,545,3164515923,2025-11-13
12,The Goo Goo Dolls,Iris,2.992.644,9,790,1507697664,2025-11-13
13,Bizarrap,"Daddy Yankee: Bzrp Music Sessions, Vol. 0/66(w/Daddy Yankee)",2.973.917,7,7,21769039,2025-11-13
14,The Neighbourhood,Sweater Weather,2.868.982,12,1991,3540789588,2025-11-13
15,Jin,Donât Say You Love Me,2.858.899,1,181,649550933,2025-11-13
16,KATSEYE,Gabriela,2.827.434,7,146,405758763,2025-11-13
17,DJ Japa NK,"Posso AtÃ© NÃ£o Te Dar Flores(w/MC Meno K,MC Ryan SP,Mc JacareÌ,DJ DAVI DOGDOG)",2.774.310,9,28,68423036,2025-11-13
18,ROSALÃA,"Berghain(w/BjÃ¶rk,Yves Tumor)",2.549.163,7,17,46163102,2025-11-13
19,Billie Eilish,WILDFLOWER,2.457.825,8,545,1609858658,2025-11-13
20,Disco Lines,No Broke Boys(w/Tinashe),2.409.651,12,139,326481412,2025-11-13
21,Lord Huron,The Night We Met,2.403.281,15,1199,2233502302,2025-11-13
22,The Weeknd,"One Of The Girls(w/JENNIE,Lily-Rose Depp)",2.338.525,2,767,2146395664,2025-11-13
23,Radiohead,Creep,2.295.697,22,713,1074740799,2025-11-13
24,Saja Boys,"Soda Pop(w/Andrew Choi,Neckwav,Danny Chung,KEVIN WOO,samUIL Lee,KPop Demon Hunters Cast)",2.295.258,3,143,513308823,2025-11-13
25,The Police,Every Breath You Take,2.261.020,20,1490,1964952185,2025-11-13
26,sombr,12 to 12,2.254.715,12,108,249731990,2025-11-13
27,Ravyn Lenae,Love Me Not,2.233.299,8,239,627944359,2025-11-13
28,Gigi Perez,Sailor Song,2.230.415,5,452,1413203130,2025-11-13
29,Benson Boone,Beautiful Things,2.207.481,1,664,2560692204,2025-11-13
30,sombr,undressed,2.177.901,6,231,604876516,2025-11-13
31,Sabrina Carpenter,Manchild,2.172.756,1,160,521051178,2025-11-13
32,Coldplay,Sparks,2.153.360,27,433,670195521,2025-11-13
33,ROSALÃA,Reliquia,2.128.561,10,6,14518046,2025-11-13
34,Arctic Monkeys,I Wanna Be Yours,2.125.162,11,1225,2879969498,2025-11-13
35,Jimin,Who,2.118.039,1,482,2049185774,2025-11-13
36,Djo,End of Beginning,2.093.392,1,635,1704890544,2025-11-13
37,Teddy Swims,Lose Control,2.081.970,5,728,2080900151,2025-11-13
